epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,2509.74,2.39919,1.32829,1.03183,0.66848,0.64198,0.61054,0.1797,2.39934,1.25095,1.05399,0.0097822,0.0097822,0.0097822
24,2619.56,2.4046,1.34861,1.03467,0.62625,0.69383,0.61982,0.18451,2.41859,1.2252,1.06355,0.0097723,0.0097723,0.0097723
25,2729.3,2.39295,1.32358,1.03368,0.45454,0.4963,0.38099,0.10799,2.75684,1.50696,1.13444,0.0097624,0.0097624,0.0097624
26,2838.94,2.36575,1.30326,1.03608,0.83156,0.79259,0.78307,0.23931,2.37313,1.09451,1.04877,0.0097525,0.0097525,0.0097525
27,2948.72,2.36264,1.32178,1.03143,0.50556,0.66914,0.51736,0.14622,2.52951,1.33657,1.08202,0.0097426,0.0097426,0.0097426
28,3058.38,2.36528,1.35591,1.03022,0.42829,0.62469,0.42873,0.12155,2.55946,1.44564,1.08665,0.0097327,0.0097327,0.0097327
29,3167.95,2.33591,1.29975,1.02149,0.76676,0.75062,0.74025,0.23299,2.30927,1.09489,1.03375,0.0097228,0.0097228,0.0097228
30,3277.62,2.34393,1.30014,1.02254,0.47057,0.60494,0.45006,0.12347,2.65092,1.38613,1.11909,0.0097129,0.0097129,0.0097129
31,3388.06,2.34998,1.2855,1.01751,0.8073,0.71358,0.78755,0.24822,2.31081,1.09322,1.04442,0.009703,0.009703,0.009703
32,3497.57,2.34672,1.2901,1.02501,0.75559,0.7358,0.72261,0.22686,2.35936,1.11111,1.05007,0.0096931,0.0096931,0.0096931
33,3605.81,2.34658,1.29599,1.02059,0.70046,0.69383,0.6687,0.19094,2.40017,1.22223,1.07297,0.0096832,0.0096832,0.0096832
34,3714.08,2.3589,1.2908,1.0281,0.75427,0.75034,0.7258,0.22342,2.3483,1.12587,1.04702,0.0096733,0.0096733,0.0096733
35,3822.62,2.33326,1.26413,1.0191,0.79897,0.75802,0.74591,0.23082,2.35783,1.06941,1.04948,0.0096634,0.0096634,0.0096634
36,3930.98,2.32335,1.25344,1.02122,0.60408,0.65551,0.58057,0.1679,2.51637,1.25479,1.08383,0.0096535,0.0096535,0.0096535
37,4039.28,2.35241,1.28961,1.02251,0.77714,0.72327,0.7208,0.21669,2.39195,1.08721,1.05162,0.0096436,0.0096436,0.0096436
38,4147.75,2.30999,1.26411,1.02231,0.69541,0.7272,0.67622,0.21084,2.33851,1.13976,1.04303,0.0096337,0.0096337,0.0096337
39,4257.79,2.32327,1.25797,1.0257,0.72275,0.67585,0.65184,0.18416,2.48228,1.22953,1.0785,0.0096238,0.0096238,0.0096238
40,4367.67,2.31621,1.26884,1.01796,0.62182,0.58519,0.55843,0.15808,2.4907,1.29435,1.07953,0.0096139,0.0096139,0.0096139
41,4477.61,2.30905,1.26052,1.02049,0.70261,0.6716,0.64677,0.19502,2.3421,1.15381,1.04627,0.009604,0.009604,0.009604
