epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5332.1,2.19746,1.10919,0.9892,0.88616,0.86,0.8458,0.2766,2.26369,1.02271,1.00413,0.0093367,0.0093367,0.0093367
69,5408.87,2.2328,1.13044,1.00418,0.77556,0.75333,0.73568,0.23891,2.33579,1.17971,1.01672,0.0093268,0.0093268,0.0093268
70,5485.8,2.19967,1.12683,0.99053,0.8936,0.86,0.85781,0.28814,2.23659,1.02565,0.98588,0.0093169,0.0093169,0.0093169
71,5562.86,2.21985,1.12219,0.99825,0.85548,0.82871,0.80789,0.27371,2.23129,1.04785,1.0133,0.009307,0.009307,0.009307
72,5639.73,2.19286,1.0906,0.98966,0.87513,0.84667,0.85556,0.29452,2.28382,1.00947,1.01914,0.0092971,0.0092971,0.0092971
73,5716.66,2.20181,1.11423,0.99164,0.85873,0.82,0.82424,0.26674,2.29312,1.06246,1.01219,0.0092872,0.0092872,0.0092872
74,5794.78,2.22052,1.11929,1.00034,0.91651,0.87816,0.88342,0.30285,2.22081,1.01046,0.99187,0.0092773,0.0092773,0.0092773
75,5873.07,2.22332,1.14333,1.00418,0.82372,0.79333,0.79617,0.25992,2.29545,1.10732,1.00105,0.0092674,0.0092674,0.0092674
76,5951.18,2.22161,1.11846,0.99539,0.83309,0.8,0.78741,0.26276,2.29976,1.08389,0.99213,0.0092575,0.0092575,0.0092575
77,6029.36,2.2063,1.12659,0.9899,0.77463,0.73333,0.72256,0.23258,2.33045,1.18934,0.9938,0.0092476,0.0092476,0.0092476
78,6107.51,2.22787,1.11898,0.99578,0.86605,0.83333,0.83136,0.27108,2.25567,1.06385,0.98552,0.0092377,0.0092377,0.0092377
79,6185.7,2.19777,1.12791,0.98459,0.85998,0.82,0.79924,0.26695,2.24366,1.06313,0.98633,0.0092278,0.0092278,0.0092278
80,6263.93,2.19741,1.1263,0.98589,0.85769,0.82667,0.80728,0.27183,2.25536,1.08845,0.98792,0.0092179,0.0092179,0.0092179
81,6341.87,2.17308,1.13721,0.97394,0.78108,0.74,0.72119,0.24332,2.32542,1.1434,1.00277,0.009208,0.009208,0.009208
82,6419.93,2.18311,1.12982,0.97702,0.87755,0.86,0.86071,0.28969,2.22588,1.03314,0.97707,0.0091981,0.0091981,0.0091981
83,6498.05,2.18533,1.10013,0.98,0.81509,0.79333,0.76453,0.26369,2.26235,1.06881,0.98981,0.0091882,0.0091882,0.0091882
84,6576.06,2.19753,1.10619,0.9936,0.89638,0.89333,0.88129,0.31638,2.18346,1.00613,0.96745,0.0091783,0.0091783,0.0091783
85,6654.08,2.15445,1.12236,0.97831,0.81997,0.78,0.77075,0.26013,2.25344,1.07341,0.98347,0.0091684,0.0091684,0.0091684
86,6732.22,2.21079,1.14723,0.98764,0.83766,0.80667,0.79627,0.26211,2.30885,1.10329,0.98713,0.0091585,0.0091585,0.0091585
87,6810.36,2.19869,1.11422,0.98312,0.80521,0.77162,0.77071,0.25753,2.29533,1.10151,0.99739,0.0091486,0.0091486,0.0091486
88,6888.69,2.15624,1.10558,0.97716,0.81662,0.78,0.80095,0.26578,2.31909,1.0498,0.99472,0.0091387,0.0091387,0.0091387
89,6966.7,2.1559,1.11714,0.97394,0.86887,0.83928,0.84753,0.29928,2.21436,1.04011,0.97856,0.0091288,0.0091288,0.0091288
90,7044.59,2.18223,1.10096,0.99038,0.88926,0.86,0.87408,0.29002,2.1791,0.98697,0.97454,0.0091189,0.0091189,0.0091189
91,7122.6,2.15587,1.0929,0.98297,0.88502,0.87233,0.87896,0.29991,2.24688,0.98946,0.98702,0.009109,0.009109,0.009109
92,7200.77,2.13981,1.10304,0.97757,0.85227,0.82,0.83151,0.29492,2.21542,1.01394,0.98196,0.0090991,0.0090991,0.0090991
